team,url,ncaa_id,stats_name,division
Hartford,https://hartfordhawks.com/sports/mens-soccer,272,Hartford,III
Hartwick,https://www.hartwickhawks.com/sports/mens-soccer,,,III
Harvard,https://gocrimson.com/sports/mens-soccer,275,Harvard,I
Haverford,https://www.haverfordathletics.com/sports/msoc/index,,,III
Hawaii Hilo,https://hiloathletics.com/sports/mens-soccer,,Hawaii Hilo,II
Hawaii Pacific,https://hpusharks.com/sports/mens-soccer,,Hawaii Pacific,II
Heidelberg,https://www.bergathletics.com/sports/mens-soccer,278,,III
Hendrix,https://hendrixwarriors.com/sports/mens-soccer,1124,Hendrix,III
High Point,https://highpointpanthers.com/sports/mens-soccer,19651,High Point,I
Hilbert,https://hilberthawks.com/sports/mens-soccer,8398,Hilbert,III
Hiram,https://hiramterriers.com/sports/mens-soccer,281,Hiram,III
Hobart,https://hwsathletics.com/sports/mens-soccer,,,III
Hofstra,https://gohofstra.com/sports/mens-soccer,283,Hofstra,I
Holy Cross,https://goholycross.com/sports/mens-soccer,285,Holy Cross,I
Holy Family,https://athletics.holyfamily.edu/sports/mens-soccer,1126,Holy Family,II
Hood,https://hoodathletics.com/sports/mens-soccer,8404,Hood,III
Hope,https://athletics.hope.edu/sports/msoc/index,286,,III
Houghton,https://athletics.houghton.edu/sports/mens-soccer,30160,Houghton,III
Houston Christian,https://hcuhuskies.com/sports/mens-soccer,287,,I
Howard,https://hubison.com/sports/mens-soccer,290,Howard,I
Howard Payne,https://hpusports.com/sports/mens-soccer,2741,Howard Payne,III
Hunter,https://www.huntercollegeathletics.com/sports/mens-soccer,292,Hunter College,III
Huntingdon,https://www.huntingdonhawks.com/sports/msoc/index,,,III
Husson,https://hussoneagles.com/sports/mens-soccer,1133,,III
Ill. Springfield,https://uisprairiestars.com/sports/mens-soccer,30050,Ill. Springfield,II
Ill. Wesleyan,https://www.iwusports.com/sports/mens-soccer,300,Ill. Wesleyan,III
Illinois Col.,https://illinoiscollegeathletics.com/sports/mens-soccer,297,Illinois College,III
Illinois Institute of Technology,https://illinoistechathletics.com/sports/mens-soccer,,IIT,III
Illinois-Chicago,https://uicflames.com/sports/mens-soccer,302,Uic,I
Immaculata,https://gomightymacs.com/sports/mens-soccer,,,III
Incarnate Word,https://uiwcardinals.com/sports/mens-soccer,2743,UIW,I
Indiana,https://iuhoosiers.com/sports/mens-soccer,306,Indiana,I
Iona,https://ionagaels.com/sports/mens-soccer,310,Iona,I
Ithaca,https://athletics.ithaca.edu/sports/mens-soccer,313,Ithaca,III
IU Indy,https://iupuijags.com/sports/mens-soccer,2699,IU Indy,I
Jacksonville,https://judolphins.com/sports/mens-soccer,316,Jacksonville,I
James Madison,https://jmusports.com/sports/mens-soccer,317,James Madison,I
Jefferson,https://jeffersonrams.com/sports/mens-soccer,543,Jefferson,II
Jessup,https://jessupathletics.com/sports/mens-soccer,,Jessup,II
John Carroll,https://jcusports.com/sports/mens-soccer,320,John Carroll,III
John Jay,https://johnjayathletics.com/sports/mens-soccer,321,John Jay,III
Johns Hopkins,https://hopkinssports.com/sports/mens-soccer,322,Johns Hopkins,III
Juniata,https://www.juniatasports.net/sports/msoc/index,,,III
JWU (Providence),https://providence.jwuathletics.com/sports/mens-soccer,22626,,III
Kalamazoo,https://hornets.kzoo.edu/sports/msoc/index,326,,III
Kansas City,https://kcroos.com/sports/mens-soccer,2707,Kansas City,I
Kean,https://keanathletics.com/sports/mens-soccer,,,III
Keene St.,https://keeneowls.com/sports/mens-soccer,330,Keene St.,III
Kentucky,https://ukathletics.com/sports/msoc/index,334,Kentucky,I
Kenyon,https://athletics.kenyon.edu/sports/mens-soccer,335,Kenyon,III
Keuka,https://keukaathletics.com/sports/mens-soccer,1159,,III
Keystone,https://www.gokcgiants.com/sports/mens-soccer,30047,,III
King (TN),https://kingtornado.com/sports/msoc/index,King (TN),II
King's (PA),https://kingscollegeathletics.com/sports/mens-soccer,336,King's (PA),III
Knox,https://prairiefire.knox.edu/sports/mens-soccer,337,Knox,III
Ky. Wesleyan,https://kwcpanthers.com/sports/mens-soccer,333,Ky. Wesleyan,II
La Roche,https://www.larochesports.com/sports/msoc/index,,,III
La Verne,https://leopardathletics.com/sports/mens-soccer,341,,III
Lafayette,https://goleopards.com/sports/mens-soccer,342,Lafayette,I
LaGrange,https://www.lagrangepanthers.com/sports/msoc/index,1162,,III
Lake Erie,https://lakeeriestorm.com/sports/mens-soccer,2746,,II
Lake Forest,https://goforesters.com/sports/mens-soccer,344,,III
Lakeland,https://lakelandmuskies.com/sports/mens-soccer,,,III
Lancaster Bible,https://lbcchargers.com/sports/mens-soccer,30085,,III
Lander,https://landerbearcats.com/sports/msoc/index,1167,,II
LaSalle,https://goexplorers.com/sports/mens-soccer,340,La Salle,I
Lasell,https://laserpride.lasell.edu/sports/msoc/index,,,III
Lawrence,https://vikings.lawrence.edu/sports/mens-soccer,348,Lawrence University,III
Le Moyne,https://lemoynedolphins.com/sports/mens-soccer,349,,I
Lebanon Valley,https://godutchmen.com/sports/mens-soccer,351,,III
Lee,https://leeuflames.com/sports/mens-soccer,30013,Lee,II
Lees-McRae,https://lmcbobcats.com/sports/mens-soccer,13302,Lees-McRae,II
Lehigh,https://lehighsports.com/sports/mens-soccer,352,Lehigh,I
Lehman,https://lehmanathletics.com/sports/mens-soccer,,,III
Lenoir-Rhyne,https://lrbears.com/sports/mens-soccer,1170,,II
Lesley,https://lesleyathletics.com/sports/msoc/index,,,III
LeTourneau,https://letuathletics.com/sports/mens-soccer,8490,,III
Lewis,https://lewisflyers.com/sports/mens-soccer,354,Lewis,II
Lewis & Clark,https://lcpioneers.com/sports/mens-soccer,,,III
Liberty,https://libertyflames.com/sports/mens-soccer,355,Liberty,I
Limestone,https://golimestonesaints.com/sports/mens-soccer,1174,Limestone,II
Lincoln (MO),https://lubluetigers.com/sports/mens-soccer,,Lincoln (MO),II
Lincoln Memorial,https://lmurailsplitters.com/sports/mens-soccer,,Lincoln Memorial,II
Lindenwood (MO),https://lindenwoodlions.com/sports/mens-soccer,30136,Lindenwood (MO),I
Linfield,https://golinfieldwildcats.com/sports/mens-soccer,1179,Linfield,III
Lipscomb,https://lipscombsports.com/sports/mens-soccer,28600,Lipscomb,I
Lock Haven,https://www.golhu.com/sports/mens-soccer,360,Lock Haven,II
Long Island,https://www.liuathletics.com/sports/mens-soccer,361,Liu,I
Longwood,https://longwoodlancers.com/sports/mens-soccer,363,Longwood,I
Loras,https://duhawks.com/sports/mens-soccer,364,Loras,III
Louisville,https://gocards.com/sports/mens-soccer,367,Louisville,I
Loyola Maryland,https://loyolagreyhounds.com/sports/mens-soccer,,Loyola Maryland,I
Loyola Marymount,https://lmulions.com/sports/mens-soccer,370,LMU (CA),I
Loyola-Chicago,https://loyolaramblers.com/sports/mens-soccer,371,Loyola Chicago,I
Lubbock Christian,https://lcuchaps.com/sports/mens-soccer,30177,Lubbock Christian,II
Luther,https://luthernorse.com/sports/mens-soccer,372,,III
Lycoming,https://lycomingathletics.com/sports/mens-soccer,373,,III
Lynchburg,https://lynchburgsports.com/sports/mens-soccer,374,,III
Lynn,https://lynnfightingknights.com/sports/mens-soccer,,Lynn,II
Lyon,https://lyonscots.com/sports/mens-soccer,,,III
Macalester,https://athletics.macalester.edu/sports/mens-soccer,376,Macalester College,III
Maine Maritime,https://marinersports.org/sports/mens-soccer,,,III
Malone,https://malonepioneers.com/sports/mens-soccer,,Malone,II
Manchester,https://muspartans.com/sports/mens-soccer,,,III
Manhattan,https://gojaspers.com/sports/mens-soccer,381,Manhattan,I
Manhattanville,https://govaliants.com/sports/mens-soccer,382,,III
Maranatha Baptist,https://mbusabercats.com/sports/mens-soccer,,,III
